a little,অল্প-স্বল্প
anti hierarchy,বিরোধী অনুক্রমের
anti huff,বিরোধী অভিমান
anti human,বিরোধী মানব
anti humanist,বিরোধী মানবতাবাদী
anti humanistic,বিরোধী মানবতাবাদী
anti hunting,বিরোধী শিকার
anti hydrophobic,বিরোধী হাইড্রোফোবিক
anti hygienic,বিরোধী স্বাস্থ্যকর
anti hypochondriac,বিরোধী বিষণ্ণপ্রকৃতি
anti hysteria,বিরোধী হিস্টিরিয়া
anti inflammatory,বিরোধী প্রদাহজনক
anti kinase,বিরোধী কাইনেস
anti knocks,বিরোধী দরজায় কড়া নাড়লেই
anti labor,বিরোধী শ্রম
anti league,বিরোধী লীগ
anti left,বিরোধী বাম
anti lethargic,বিরোধী নিশ্চেষ্ট
anti leveling,বিরোধী সমতলকরণ
anti levelling,বিরোধী সমতলকরণ
anti liberalism,বিরোধী উদারনীতি
anti liberals,বিরোধী উদারপন্থীদের
anti life,বিরোধী জীবন
anti lift,বিরোধী লিফট
anti lipase,বিরোধী লাইপেস
anti lipid,বিরোধী লিপিড
anti lottery,বিরোধী লটারি
anti machination,বিরোধী কৌশলোদ্ভাবন
anti machine,বিরোধী মেশিন
anti machinery,বিরোধী যন্ত্রপাতি
anti male,বিরোধী পুরুষ
anti mark,বিরোধী চিহ্ন
anti martyr,বিরোধী শহীদ
anti mask,বিরোধী মাস্ক
anti masker,বিরোধী মুখোশধারী
anti masks,বিরোধী মুখোশ
anti mason,এন্টি ম্যাসন
anti masonic,এন্টি ম্যাসনিক
anti masonry,এন্টি রাজমিস্ত্রির
anti masquerade,বিরোধী ছদ্মবেশ
anti materialism,বিরোধী বস্তুবাদ
anti materialist,বিরোধী বস্তুবাদী
anti materialistic,বিরোধী জড়বাদী
anti matrimonial,বিরোধী বৈবাহিক
anti mechanism,বিরোধী প্রক্রিয়া
anti mechanization,বিরোধী যান্ত্রিকীকরণ
anti mediaeval,বিরোধী মধ্যযুগীয়
anti medical,বিরোধী চিকিৎসা
anti medication,বিরোধী ঔষধ
anti medicine,বিরোধী ঔষধ
anti medieval,বিরোধী মধ্যযুগীয়
anti medievalist,বিরোধী মধ্যযুগের ঐতিহাসিক
anti melancholic,বিরোধী বিষাদগ্রস্ত
anti mendicancy,বিরোধী ভিক্ষুকজীবন
anti mephitic,বিরোধী পূতিগন্ধময়
anti meristem,বিরোধী মেরিস্টেম
anti metathesis,বিরোধী বর্ণবিপর্যয়
anti method,বিরোধী পদ্ধতি
anti methodical,বিরোধী শৃঙ্খলিত
anti methodically,বিরোধী ধারাক্রমে
anti militarism,বিরোধী সামরিকতন্ত্রের
anti military,বিরোধী সামরিক
anti millennial,বিরোধী সুদীর্ঘকালীন
anti ministerial,বিরোধী পরিচারক
anti miscegenation,বিরোধী বর্ণ
anti missile,বিরোধী ক্ষেপণাস্ত্র
anti missionary,বিরোধী ধর্মপ্রচারক
anti mnemonic,বিরোধী স্মৃতিসংক্রান্ত
anti model,বিরোধী মডেল
anti modern,বিরোধী আধুনিক
anti modernist,বিরোধী আধুনিকতাবাদী
anti modernization,বিরোধী আধুনিকীকরণ
anti monarchical,বিরোধী রাজতান্ত্রিক
anti monarchism,বিরোধী রাজতন্ত্রের
anti monarchist,বিরোধী রাজতন্ত্রী
anti monarchy,বিরোধী রাজতন্ত্র
anti monopolism,বিরোধী একাধিপত্য
anti monopolist,বিরোধী একাধিপত্যবাদী
anti monopolistic,বিরোধী একচেটিয়া
anti monopolization,বিরোধী কুক্ষিগত
anti monopoly,বিরোধী একাধিকার
anti moral,বিরোধী নৈতিক
anti moralism,বিরোধী স্বাভাবিক নৈতিকতা
anti moralist,বিরোধী নীতিবাগীশ
anti moralistic,বিরোধী নীতি
anti morality,বিরোধী নৈতিকতা
anti mosquito,বিরোধী মশা
anti mystic,বিরোধী অতীন্দ্রিয়
anti mystical,বিরোধী রহস্যময়
anti mysticism,বিরোধী অতীন্দ্রিয়বাদ
anti mythic,বিরোধী মনগড়া
anti mythical,বিরোধী পৌরাণিক
anti narrative,বিরোধী আখ্যান
anti national,বিরোধী জাতীয়
anti nationalism,বিরোধী জাতীয়তাবাদ
anti nationalists,বিরোধী জাতীয়তাবাদী
anti naturalism,বিরোধী স্বাভাবিকতা
anti naturalist,বিরোধী প্রকৃতিবিদ
anti naturalistic,বিরোধী প্রকৃতিবাদী
anti naturally,বিরোধী প্রাকৃতিকভাবে
anti negro,বিরোধী নিগ্রো
anti nepotism,বিরোধী স্বজনপ্রীতি
anti neutral,বিরোধী নিরপেক্ষ
anti neutrality,বিরোধী নিরপেক্ষতা
anti neutrally,বিরোধী নিরপেক্ষভাবে
anti nihilism,বিরোধী ধ্বংসবাদ
anti nihilistic,বিরোধী শূন্যবাদী
anti noise,বিরোধী গোলমাল
anti novelist,বিরোধী ঔপন্যাসিক
anti novels,বিরোধী উপন্যাস
anti nucleons,বিরোধী নিউক্লিয়নসমূহের
anti occupation,বিরোধী বৃত্তি
anti odontalgia,বিরোধী দন্তশূল
anti opium,বিরোধী আফিম
anti optimism,বিরোধী আশাবাদ
anti optimist,বিরোধী আশাবাদী
anti optimistic,বিরোধী আশাবাদী
anti optimistically,বিরোধী আশাবাদী
anti orthodox,বিরোধী গোঁড়া
anti orthodoxy,বিরোধী গোঁড়ামি
anti oxidizer,বিরোধী জারক
anti oxygenation,বিরোধী অক্সিজেনের
anti pacifism,বিরোধী শান্তিবাদ
anti pacifist,বিরোধী শান্তিবাদী
anti papacy,বিরোধী পোপের পদ
anti papal,বিরোধী পোপসংক্রান্ত
anti papalism,বিরোধী পোপের শাসন
anti papist,বিরোধী পোপের সমর্থক
anti papistical,বিরোধী পোপ বা রোমান ক্যাথলিক ধর্মমত সংক্রান্ত বা তদনুগামী
anti paragraph,বিরোধী অনুচ্ছেদ
anti parallelogram,বিরোধী সামন্তরিক
anti paralytic,বিরোধী পক্ষাঘাতগ্রস্ত
anti parliament,বিরোধী সংসদ
anti parliamentarian,বিরোধী পার্লামেন্টারিয়ান
anti parliamentarians,বিরোধী সাংসদরা
anti parliamentarism,বিরোধী সংসদীয়
anti parliamentary,বিরোধী সংসদীয়
anti pathetically,বিরোধী করুণ
anti pathogen,বিরোধী প্যাথোজেন
anti patriarchal,বিরোধী পুরুষতান্ত্রিক
anti patriarchy,বিরোধী পিতৃতন্ত্র
anti patriot,বিরোধী দেশপ্রেমিক
anti patriotism,বিরোধী স্বদেশপ্রেম
anti pellagra,বিরোধী মরাত্মক অপুষ্টিরোগ
anti personnel,বিরোধী কর্মিবৃন্দ
anti pestilence,বিরোধী মহামারী
anti pestilent,বিরোধী ক্ষতিকারক
anti pestilential,বিরোধী ক্ষতিকর
anti pharisaic,বিরোধী কপটাচারী
anti philosophical,বিরোধী দার্শনিক
anti philosophically,বিরোধী দার্শনিকভাবে
anti philosophies,বিরোধী দর্শন
anti phthisical,বিরোধী যক্ষ্মারোগ সংক্রান্ত
anti physical,বিরোধী শারীরিক
anti physically,বিরোধী শারীরিকভাবে
anti physician,বিরোধী চিকিত্সক
anti plague,বিরোধী প্লেগ
anti planet,বিরোধী গ্রহ
anti plastic,বিরোধী প্লাস্টিক
anti plethoric,বিরোধী আধিকসংক্রান্ত
anti plurality,বিরোধী বহুবচন
anti poetically,বিরোধী কাব্যিকভাবে
anti points,বিরোধী পয়েন্ট
anti political,বিরোধী রাজনৈতিক
anti politically,বিরোধী রাজনৈতিক
anti politics,বিরোধী রাজনীতি
anti pollution,দূষণ বিরোধী
anti polygamy,বিরোধী বহুবিবাহ
anti pooling,বিরোধী পুলিং
anti popery,বিরোধী রোমান ক্যাথলিক ধর্ম
anti popular,বিরোধী জনপ্রিয়
anti popularization,বিরোধী জনপ্রিয়করণ
anti populist,বিরোধী জনপ্রিয়
anti position,বিরোধী অবস্থানে
anti pot,বিরোধী পাত্র
anti poverty,বিরোধী দারিদ্র্য
anti pragmatic,বিরোধী বাস্তবমুখী
anti pragmatically,বিরোধী যৌক্তিকভাবে
anti pragmatism,বিরোধী প্রয়োগবাদ
anti prelate,বিরোধী ধর্মাচায্র্য
anti preparedness,বিরোধী প্রস্তুতির
anti prestidigitation,বিরোধী ভোজবাজি
anti priest,বিরোধী পুরোহিত
anti priesthood,বিরোধী গুরুগিরি
anti primer,বিরোধী কার্তুজ
anti principle,বিরোধী নীতি
anti productive,বিরোধী উত্পাদনশীল
anti productively,বিরোধী লাভজনকভাবে
anti profiteering,বিরোধী মুনাফাখোরি
anti progressive,বিরোধী প্রগতিশীল
anti prohibition,বিরোধী নিষেধাজ্ঞা
anti prophet,বিরোধী নবী
anti prudential,বিরোধী দূরদর্শী
anti psalmist,বিরোধী গীতরচক
anti psychiatry,বিরোধী মনোরোগবিদ্যা
anti puritan,বিরোধী শুদ্ধাচারী
anti putrefaction,বিরোধী পচ
anti putrescent,বিরোধী পচনশীল
anti putrid,বিরোধী পচা
anti rabies,বিরোধী জলাতঙ্ক
anti racer,বিরোধী নৌকো
anti racing,বিরোধী দৌড়
anti racism,বিরোধী বর্ণবাদ
anti radiant,বিরোধী প্রভাশালী
anti radiation,বিরোধী বিকিরণ
anti radicals,বিরোধী র্যাডিকেল
anti railways,বিরোধী রেলপথ
anti rational,বিরোধী মূলদ
anti rationalism,বিরোধী যুক্তিবাদ
anti rationalist,বিরোধী যুক্তিবাদী
anti rationality,বিরোধী যৌক্তিকতা
anti rationally,বিরোধী যুক্তিযুক্তভাবে
anti rattle,বিরোধী খনখন শব্দ
anti reacting,বিরোধী প্রতিক্রিয়া
anti reaction,বিরোধী প্রতিক্রিয়া
anti reactionary,বিরোধী প্রতিক্রিয়াশীল
anti realist,বিরোধী বাস্তববাদী
anti realistically,বিরোধী বাস্তবানুগভাবে
anti reality,বিরোধী বাস্তবতা
anti reducer,বিরোধী হ্রাসকারক
anti reduction,বিরোধী হ্রাস
anti reflexive,বিরোধী আত্মবাচক
anti reform,বিরোধী সংস্কার
anti reformer,বিরোধী সংস্কারক
anti reformist,বিরোধী সংস্কারবাদী
anti religionist,বিরোধী নাস্তিক
anti religiosity,বিরোধী ধর্মভীরুতা
anti religious,বিরোধী ধর্মীয়
anti rennet,বিরোধী দম্বল
anti renter,বিরোধী প্রজা
anti republicanism,বিরোধী প্রজাতন্ত্রবাদ
anti resonator,বিরোধী অনুনাদক
anti restoration,বিরোধী পুন
anti reticular,বিরোধী জালি
anti revisionist,সংশোধনবাদবিরোধী
anti revolution,বিরোধী বিপ্লব
anti revolutionaries,বিরোধী বিপ্লবীদের
anti revolutionary,বিরোধী বিপ্লবী
anti revolutionist,বিরোধী বিপ্লবপন্থী
anti riot,বিরোধী দাঙ্গা
anti ritual,বিরোধী অনুষ্ঠান
anti ritualism,বিরোধী ধর্মীয় আচার-অনুষ্ঠানের
anti ritualist,বিরোধী ক্রিয়াকাণ্ডজ্ঞ
anti ritualistic,বিরোধী আচার
anti roll,বিরোধী রোল
anti romantic,বিরোধী রোমান্টিক
anti royal,বিরোধী রাজকীয়
anti royalist,বিরোধী রাজপক্ষীয়
anti ruminative,বিরোধী অনুধ্যানশীল
anti rumor,বিরোধী গুজব
anti rust,মরিচা প্রতিরোধী
anti sacerdotal,বিরোধী যাজকীয়
anti sag,বিরোধী পাশে ঝুলিয়া পড়া
anti saloon,বিরোধী সেলুন
anti savage,বিরোধী অসভ্য
anti scale,বিরোধী স্কেল
anti sceptical,বিরোধী সন্দেহপ্রবণ
anti scepticism,বিরোধী সংশয়বাদ
anti scholastic,বিরোধী পাণ্ডিত্যপূর্ণ
anti scholasticism,বিরোধী দার্শনিক
anti school,বিরোধী স্কুল
anti scientific,বিরোধী বৈজ্ঞানিক
anti scientifically,বিরোধী বৈজ্ঞানিকভাবেও
anti scrofulous,বিরোধী গণ্ডমালা-রোগগ্রস্ত
anti selene,বিরোধী সেলিন
anti sensitivity,বিরোধী সংবেদনশীলতা
anti sensuality,বিরোধী যৌনক্ষুধা চরিতার্থ
anti sensuous,বিরোধী ইন্দ্রি়গত
anti sensuously,বিরোধী ইন্দ্রিয়-উদ্দীপক ধরনে
anti ship,বিরোধী জাহাজ
anti siccative,বিরোধী শুষ্ককারী
anti skeptical,বিরোধী সন্দেহপ্রবণ
anti skepticism,বিরোধী সংশয়বাদ
anti skid,বিরোধী মাথা
anti slavery,বিরোধী দাসত্ব
anti smoking,ধূমপানবিরোধী
anti snob,বিরোধী স্নোব
anti socialist,বিরোধী সমাজতান্ত্রিক
anti sophist,বিরোধী তার্কিক
anti sophistic,বিরোধী কুতর্ককসুলভ
anti sophistication,বিরোধী কুতর্ক
anti sophistry,বিরোধী কূটতর্ক
anti soporific,বিরোধী ঘুমপাড়ানি
anti space,বিরোধী স্থান
anti spadix,বিরোধী মঞ্জরি
anti spectroscopic,বিরোধী বর্ণালিবীক্ষণ
anti speculation,বিরোধী ফটকা
anti spiritual,বিরোধী আধ্যাত্মিক
anti spiritualism,বিরোধী অধ্যাত্মবাদ
anti spiritualist,বিরোধী অধ্যাত্মবাদী
anti spiritualistic,বিরোধী আত্মিকবাদমূলক
anti spiritually,বিরোধী আধ্যাত্মিকভাবে
anti splenetic,বিরোধী খিট্খিটে
anti splitting,বিরোধী বিভাজন
anti squatting,বিরোধী জবরদখল
anti stalling,বিরোধী দিয়েছিল
anti statist,বিরোধী পরিসংখ্যানবিৎ
anti sterility,বিরোধী বন্ধ্যাত্ব
anti stimulant,বিরোধী উদ্দীপক
anti stimulation,বিরোধী উদ্দীপনা
anti strike,বিরোধী ধর্মঘট
anti substance,বিরোধী পদার্থ
anti suffrage,বিরোধী ভোটাধিকার
anti sunrise,বিরোধী সূর্যোদয়
anti supernatural,বিরোধী অতিপ্রাকৃত
anti supernaturalism,বিরোধী অতিপ্রাকৃত শক্তির অস্তিত্বের বিশ্বাস
anti syndicalism,বিরোধী আন্দোলন
anti syndication,বিরোধী সিন্ডিকেশন
anti synod,বিরোধী সম্মেলন
anti tangent,বিরোধী স্পর্শক
anti tank,বিরোধী ট্যাংক
anti tarnish,বিরোধী কলঙ্কিত
anti tartaric,বিরোধী টারটারিক
anti tax,বিরোধী কর
anti taxation,বিরোধী করারোপণ
anti temperance,বিরোধী মিতাচার
anti tetanolysin,বিরোধী টিটেনোলাইসিন
anti theft,বিরোধী চুরি
anti theistic,বিরোধী ঈশ্বরবাদ বা আস্তিকতা
anti theologian,বিরোধী ধর্মতত্ত্ববিদ
anti theological,বিরোধী পারমার্থিক
anti theology,বিরোধী ধর্মতত্ত্ব
anti tobacco,বিরোধী তামাক
anti tobacconist,বিরোধী ব্যক্তি তামাক প্রস্তুত
anti torpedo,বিরোধী টর্পেডো
anti trades,বিরোধী কাজে
anti tradition,বিরোধী ঐতিহ্য
anti traditionalist,বিরোধী ঐতিহ্যবাদী
anti traditionally,বিরোধী ঐতিহ্যগতভাবে
anti tragic,বিরোধী দুঃখজনক
anti tragus,বিরোধী জাল
anti trismus,বিরোধী কপাটী
anti twilight,বিরোধী গোধূলি
anti typhoid,বিরোধী টাইফয়েড
anti unionist,বিরোধী সভ্য
anti usurious,বিরোধী সুদখোর
anti utilitarian,বিরোধী উপযোগবাদী
anti utilitarianism,বিরোধী উপযোগবাদ
anti vaccination,বিরোধী টিকা
anti vaccinator,বিরোধী টিকাদার
anti venereal,বিরোধী রতিজ
anti venomous,বিরোধী বিষধর
anti vibration,বিরোধী কম্পন
anti vivisection,বিরোধী জীবচ্ছেদ
anti volition,বিরোধী সাধ
anti warlike,বিরোধী যুদ্ধপ্রিয়
anti wear,বিরোধী পরিধান
anti wedge,বিরোধী কীলক
anti white,বিরোধী সাদা
anti world,বিরোধী বিশ্বের
anti zealot,বিরোধী ধর্মোন্মত্ত
anti environmentalists,বিরোধী পরিবেশবিদ
anti-aircraft fire,শত্রুবিমানাত্রমণপ্রতিরোধী অগ্নি
antibacterial drug,ব্যাকটেরিয়ারোধী ড্রাগ
antibiotic drug,এন্টিবায়োটিক ড্রাগ
anticipatory breach,পূর্বাহ্নে চুক্তিভঙ্গ
anti-corruption watchdog,দুর্নীতি দমনপর্যবেক্ষণ সংস্থা
anti-drug law,মাদক বিরোধী আইন
anti-g suit,বিরোধী গ্রাম মামলা
antigenic determinant,এন্টিজেনিক নির্ধারক
anti-graft body,দুর্নীতিবিরোধী সংস্থা
anti-impotence drug,বিরোধী পুরুষত্বহীনতা ড্রাগ
anti-inflammatory drug,বিরোধী প্রদাহজনক ড্রাগ
antimalarial drug,ম্যালেরিয়া ড্রাগ
anti-masonic party,বিরোধী স্থাপত্য পার্টি
anti-militancy campaign,জঙ্গিবাদ বিরোধী প্রচারণা
anti-militancy sentiment,জঙ্গিবাদ বিরোধী মনোভাব
antimony blende,সুর্মা উজ্জ্বল পদার্থবিশেষ
antimony bloom,সুর্মা পুষ্প
antimony cinnabar,সুর্মা সিঁদুর
antimony crocus,সুর্মা ক্রোকাস
antimony crude,সুর্মা অশোধিত
antimony glance,সুর্মা নজরে
antimony ocher,সুর্মা গৈরিক
antimony orange,সুর্মা কমলা
antimony oxide,সুর্মা অক্সাইড
antimony red,সুর্মা লাল
antimony saffron,সুর্মা জাফরান
antimony salt,সুর্মা লবণ
antimony sulphide,অক্ষ
antimony vermilion,সুর্মা সিঁদুর
antimony white,সুর্মা সাদা
antimony yellow,সুর্মা হলুদ
anti-people budget,গণবিরোধ বাজেট/সমাজ বিরোধী কার্যকলাপ
anti-personnel bomb,বিরোধী কর্মীদের বোমা
antipodal opposition,বিপরীত তত্রত্য বিরোধী
antipsychotic agent,এন্টিসাইকোটিক এজেন্ট
antipsychotic drug,এন্টিসাইকোটিক ড্রাগ
antiquarian bookseller,প্রত্নতাত্ত্বিক পুস্তক
antique brass,পুরাতন ব্রাস
antique bronze,এন্টিকের ব্রোঞ্জ
antique dealer,এন্টিকের ব্যাপারী
antique drab,পুরাকালের মনিন
antique look,পুরাকালের বর্ণন
antique shop,এন্টিকের দোকান
antique store,এন্টিকের দোকান
